SubjectID,TrialNumber,Choice,ChoiceLabel,PlayChoice,ReactionTime,Card1,Card2,Card3,Card4,Card5,Card6,ExpectedValue,StandardDev,Condition,HighRT
23,47,2,Play,1,2.0858,-4,1,2,0,0,0,-0.333333333,3.214550254,3,0
23,94,1,Pass,0,1.5878,-6,9,-7,0,0,0,-1.333333333,8.96288644,3,1
23,97,2,Play,1,1.5518,2,-5,9,0,0,0,2,7,3,1
23,10,1,Pass,0,1.3192,-7,-8,5,0,0,0,-3.333333333,7.234178138,3,0
23,47,1,Pass,0,1.6205,2,-2,-4,0,0,0,-1.333333333,3.055050463,3,0
23,42,2,Play,1,1.5432,3,3,-4,0,0,0,0.666666667,4.041451884,3,0
23,32,2,Play,1,0.6921,4,2,6,0,0,0,4,2,3,0
23,47,1,Pass,0,1.2861,1,-4,-3,0,0,0,-2,2.645751311,3,0
23,91,2,Play,1,1.5974,6,-9,9,0,0,0,2,9.643650761,3,1
23,97,1,Pass,0,2.0519,9,-7,-5,0,0,0,-1,8.717797887,3,1
23,32,2,Play,1,1.6517,-7,3,6,0,0,0,0.666666667,6.806859286,3,0
23,47,1,Pass,0,1.8184,1,-4,-4,0,0,0,-2.333333333,2.886751346,3,0
23,42,2,Play,1,1.5186,-1,3,5,0,0,0,2.333333333,3.055050463,3,0
23,47,1,Pass,0,1.6755,-4,-2,-4,0,0,0,-3.333333333,1.154700538,3,0
23,95,1,Pass,0,1.1437,7,-3,-9,0,0,0,-1.666666667,8.082903769,3,1
23,32,2,Play,1,1.1517,6,3,4,0,0,0,4.333333333,1.527525232,3,0
23,10,1,Pass,0,1.9401,-2,5,-6,0,0,0,-1,5.567764363,3,0
23,95,1,Pass,0,1.1226,8,7,-9,-3,8,-7,0.666666667,7.916228058,6,1
23,94,2,Play,1,1.7679,9,-9,8,0,0,0,2.666666667,10.11599394,3,1
