SubNum,TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,EV,std,infoS,infoValue,infoS_normalized
3299,74,-8,-8,-7,9,4,-6,-2.66666666666667,7.31209044437134,0.003144654,0.383333333,-0.752511747793601
3299,59,1,3,-8,3,-4,-9,-2.33333333333333,5.42832079621927,0.69202044,0.15,0.924148143207038
3299,65,1,3,-8,8,-3,-3,-0.333333333333333,5.57374799095426,0.920990566,0.8,1.48144023316527
3299,36,-5,8,9,7,-5,-8,1,7.77174369109018,0.104363208,0.9,-0.506155157584053
3299,89,9,-8,-9,1,-3,9,-0.166666666666667,7.96031825159438,0.205581761,1.216666667,-0.259798569808412
3299,14,6,1,-5,-3,-5,8,0.333333333333333,5.64505683467108,0.016902516,0.766666667,-0.719026385308641
3299,24,2,-6,-3,3,7,-6,-0.5,5.31977443130815,0.556407233,0.683333333,0.594078151652904
3299,9,-4,-5,-1,-1,-8,-1,-3.33333333333333,2.87518115371304,0.00216195,0,-0.754903558356566
3299,58,-6,3,-2,1,-4,7,-0.166666666666667,4.79235502302017,0.427672956,0.733333333,0.280750838907343
3299,37,-5,-8,-6,2,-8,-1,-4.33333333333333,4.03319558993445,0.000196541,0,-0.759687181916404
3299,86,8,-9,-8,-5,4,9,-0.166666666666667,8.13428956127495,0.065055031,1.35,-0.601827621479095
3299,92,8,-8,5,-8,2,1,0,6.66333249958307,0.00216195,1.066666667,-0.754903558356566
3299,45,-7,4,-9,-8,4,-5,-3.5,5.95818764390649,0.001179245,0.066666667,-0.757295371353439
3299,32,3,-7,4,2,6,6,2.33333333333333,4.84424056655599,0.004127358,0.05,-0.750119937230635
3299,64,6,3,4,-7,-2,-3,0.166666666666667,4.9564772436345,0.117138365,0.766666667,-0.475061608095966
3299,31,-4,-8,1,9,-9,-1,-2,6.6332495807108,0.00216195,0.366666667,-0.754903558356566
3299,26,-8,-7,4,-8,7,-3,-2.5,6.53452370108182,0.004127358,0.3,-0.750119937230635
3299,4,-9,8,-9,7,-2,-9,-2.33333333333333,8.09114742583935,0.001179245,0.516666667,-0.757295371353439
3299,38,4,7,-4,6,8,-9,2,6.89927532426414,0.006092767,0.45,-0.745336313670797
3299,50,-8,-4,4,-5,2,6,-0.833333333333333,5.60059520646392,0.164308176,0.583333333,-0.360254654829385
3299,11,-9,-2,-4,3,7,1,-0.666666666666667,5.60951572479004,0.022798742,0.65,-0.704675517063034
3299,33,-8,1,6,1,-2,1,-0.166666666666667,4.62240918425302,0.29009434,0.7,-0.0541027762066282
3299,47,-4,-2,-3,-4,1,2,-1.66666666666667,2.58198889747161,0.001179245,0.016666667,-0.757295371353439
3299,8,2,4,8,-3,-8,5,1.33333333333333,5.85377371160405,0.011988994,0.466666667,-0.730985442991283
3299,29,-1,1,1,5,5,6,2.83333333333333,2.85773803324704,0.004127358,0,-0.750119937230635
3299,30,-4,7,6,-1,3,-1,1.66666666666667,4.36653943835008,0.008058176,0.166666667,-0.740552690110959
3299,1,7,2,3,2,1,-6,1.5,4.23083916026124,0.005110063,0.2,-0.747728124233763
3299,91,6,-9,9,-8,4,-1,0.166666666666667,7.46770826068257,0.249803459,1.15,-0.152167050664636
3299,69,8,7,-3,-1,-6,1,1,5.54977477020464,0.397209119,0.5,0.20660467981462
3299,18,-7,1,8,1,-1,-5,-0.5,5.2820450584977,0.524960692,0.683333333,0.517540181997215
3299,85,8,8,-9,1,-9,-2,-0.5,7.66159252375118,0.541666667,0.983333333,0.558200978604979
3299,94,8,-7,-9,-6,3,9,-0.333333333333333,7.99166232186187,0.624213836,1.233333333,0.759113146213017
3299,96,9,-5,-8,3,2,-1,0,6.06630035524124,0.60947327,1.033333333,0.723235973165092
3299,34,-7,5,2,8,2,-9,0.166666666666667,6.735478206235,0.204599057,0.983333333,-0.262190380371378
3299,88,9,-1,1,8,-9,-9,-0.166666666666667,7.85917722580848,0.697916667,1.15,0.938499013886552
3299,43,-3,-9,9,6,2,2,1.16666666666667,6.431692364119,0.013954403,0.6,-0.726201819431444
3299,95,8,7,-9,-3,8,-7,0.666666666666667,7.91622805802528,0.522012579,1.066666667,0.510364747874411
3299,10,-2,-8,-7,4,-6,5,-2.33333333333333,5.68037557443754,0.000196541,0.216666667,-0.759687181916404
3299,27,-9,-3,7,-3,1,-3,-1.66666666666667,5.3166405433005,0.020833333,0.3,-0.709459140622872
3299,39,-6,4,-7,-5,9,-5,-1.66666666666667,6.56251984123985,0.011006289,0.483333333,-0.733377255988155
3299,66,-1,-3,-7,7,2,-4,-1,4.93963561409139,0.007075472,0.433333333,-0.742944500673924
3299,41,-6,2,-3,8,-1,3,0.5,4.9295030175465,0.537735849,0.616666667,0.548633731485302
3299,70,-5,2,1,7,-3,6,1.33333333333333,4.76095228569523,0.01788522,0.3,-0.716634574745675
3299,71,8,-2,-8,6,7,8,3.16666666666667,6.64580067912563,0.003144654,0.183333333,-0.752511747793601
3299,72,-2,5,3,7,-9,1,0.833333333333333,5.74166061925177,0.678262579,0.633333333,0.890662783155985
3299,7,6,-7,2,1,-5,6,0.5,5.46808924579693,0.622248428,0.65,0.754329525087087
3299,60,6,-4,2,5,-5,-8,-0.666666666666667,5.7850381733111,0.636006289,0.683333333,0.787814885138139
3299,48,-5,-2,1,-3,-8,7,-1.66666666666667,5.20256347070045,0.01788522,0.266666667,-0.716634574745675
3299,63,-2,-1,4,-5,5,1,0.333333333333333,3.77712412645741,0.467963836,0.483333333,0.378815110931444
3299,46,8,8,-4,-6,8,-2,2,6.6932802122726,0.012971698,0.3,-0.728593632428317
3299,79,2,4,-7,-5,-3,1,-1.33333333333333,4.32049379893857,0.786360063,0.216666667,1.15376205217411
3299,28,3,-5,-2,-9,9,5,0.166666666666667,6.70571895225759,0.291077044,1.066666667,-0.0517109656436628
3299,82,8,-9,8,3,-9,-2,-0.166666666666667,7.78245890876827,0.398191824,1.216666667,0.208996492811492
9266,63,-2,-1,4,-5,5,1,0.333333333333333,3.77712412645741,0.833333333,0.483333333,-1.08156611173009
9266,59,1,3,-8,3,-4,-9,-2.33333333333333,5.42832079621927,1.474537037,0.15,0.696544237857653
9266,34,-7,5,2,8,2,-9,0.166666666666667,6.735478206235,1.479166667,0.983333333,0.709382580753068
9266,32,3,-7,4,2,6,6,2.33333333333333,4.84424056655599,1.453703704,0.05,0.638771700374452
9266,97,2,9,-5,-7,8,-8,-0.166666666666667,7.57407860182786,1.451388889,1.216666667,0.632352528926744
9266,71,8,-2,-8,6,7,8,3.16666666666667,6.64580067912563,0.025462963,0.183333333,-3.3218567667296
9266,77,-1,3,5,8,-7,7,2.5,5.64800849857718,0.041666667,0.15,-3.27692256936873
9266,30,-4,7,6,-1,3,-1,1.66666666666667,4.36653943835008,1.479166667,0.166666667,0.709382580753068
9266,100,9,-9,8,-9,-1,1,-0.166666666666667,7.85917722580848,1.490740741,1.15,0.741478435218522
9266,39,-6,4,-7,-5,9,-5,-1.66666666666667,6.56251984123985,0.56712963,0.483333333,-1.81977076720862
9266,41,-6,2,-3,8,-1,3,0.5,4.9295030175465,1.472222222,0.616666667,0.690125066409946
