SubNum,trialNumber,originalTrial,infoNorm,infoValue,choice,randNum,trialEV,trialVar,Card1,Card2,Card3,Card4,Card5,Card6,newCard1,newCard2,newCard3,newCard4,newCard5,newCard6
184,35,13086,0,1.66533e-16,1,0.488588844,-5,4.427188724,-3,3,-6,-7,-9,-8,999,3,-6,999,999,-8
184,36,13332,0.9,0.754761905,2,0.087959955,0.333333333,6.022181222,7,-6,-3,4,6,-6,999,999,999,4,6,-6
184,37,13526,0.45,1.66533e-16,1,0.460758116,-1,5.099019514,-4,-1,-5,3,7,-6,-4,999,999,999,7,-6
184,38,13707,0.366666667,0.002380952,1,0.891570413,-1.666666667,6.055300708,-9,-1,8,1,-2,-7,999,999,8,1,-2,999
184,39,14928,0.6,0.747619048,1,0.020855209,-0.666666667,5.750362307,3,-7,2,3,4,-9,999,-7,999,3,999,-9
184,40,14932,0.616666667,0.757142857,1,0.610798225,-0.833333333,5.600595206,-5,9,-2,-7,1,-1,-5,999,999,999,1,-1
184,41,14989,0.75,0.004761905,1,0.79126545,-0.5,5.924525297,3,1,7,1,-6,-9,999,1,7,999,-6,999
184,42,15070,0.033333333,0,2,1.256976934,3.333333333,6.345602152,-9,8,8,5,5,3,-9,999,8,5,999,999
184,43,15136,0.2,1.66533e-16,1,1.46901374,-2.166666667,6.431692364,-7,4,4,-9,-8,3,-7,4,999,999,-8,999
184,44,15373,0.216666667,0,1,1.422306763,-1.833333333,5.492419018,-6,-4,9,-2,-5,-3,999,999,999,-2,-5,-3
184,45,15397,0.75,1.66533e-16,1,0.35180852,-0.666666667,6.186005712,8,-7,4,2,-5,-6,999,-7,4,999,999,-6
184,46,17334,0.916666667,0.402380952,2,1.194984222,0.333333333,6.470445631,3,6,-1,-8,8,-6,3,999,-1,999,8,999
